SKU,Model,Color,Gender,Cost,Price,Source
61,Zara Talon,Divers,Femme,60,120.0,conversation
101,Amor,Noire,Homme,85,170.0,conversation
102,Amore Occasion,Beige,Homme,60,120.0,conversation
103,Awina,Marron,Homme,85,170.0,conversation
104,Awina Occasion,Noire,Homme,60,120.0,conversation
105,Babouche avec Boucle,Marron Foncé,Homme,85,170.0,conversation
106,Cendale Gazelle,Marron,Homme,85,170.0,
107,Chaussure courte avec spirale,Marron et rouge,Homme,130,260.0,
108,Chaussure de feu,Marron,Homme,170,340.0,conversation
109,Chaussure grande,Noire,Homme,85,170.0,conversation
110,Chaussure Vieux,Marron clair,Homme,170,340.0,conversation
111,Chaussures maroines,Marron,Homme,85,170.0,conversation
112,Dessinateur vieux,Jaune,Homme,130,260.0,conversation
113,Dessinateur Vieux,Marron,Homme,130,260.0,conversation
114,Dessinateur vieux,Rouge,Homme,130,260.0,conversation
115,Fisherman 4 ceintures,Noire,Homme,80,160.0,conversation
116,Fisherman 6 ceintures,Marron,Homme,85,170.0,conversation
117,Fisherman lanière Occasion,Marron,Homme,60,120.0,conversation
118,Grèce,Marron,Homme,0,0,conversation
119,Hermès,Noire,Homme,85,170.0,conversation
120,Hermès lanière,Beige,Homme,85,170.0,conversation
121,Jacques,Noire,Homme,85,170.0,conversation
122,Jacques Occasion,Bleu,Homme,60,120.0,conversation
123,Les Tongs,Marron,Homme,85,170.0,
124,Lutin,Noire avec ceinture rouge,Homme,130,260.0,conversation
125,Merwan,Marron,Homme,85,170.0,
126,Mocassins Caramel,Caramel,Homme,130,260.0,conversation
127,Nasrani catholique,Marron,Homme,85,170.0,conversation
128,Sabot,Marron,Homme,90,180.0,conversation
130,Sabot,Noire,Homme,90,180.0,conversation
131,Sabot Aladin,Jaune,Homme,90,180.0,
132,Sabot Aladin,Marron,Homme,90,180.0,
133,Sabot Aladin,Violet,Homme,90,180.0,
134,Sandal Karl,Marron,Homme,0,0,
135,Sandale Carapé,Marron,Homme,85,170.0,conversation
136,Sandale Croisée,Marron,Homme,85,170.0,conversation
137,Sandale Rabat,Noire,Homme,85,170.0,conversation
138,Sandales bateau occasion,Marron,Homme,60,120.0,conversation
139,Sandales Tétouan,Marron,Homme,85,170.0,conversation
140,Sandals afghanes,Marron,Homme,85,170.0,conversation
141,Sandals Croisé Occasion,Marron,Homme,60,120.0,conversation
142,Sandals Rabat,Marron,Homme,85,170.0,conversation
143,Sandral Spiral,Marron,Homme,85,170.0,conversation
144,Spartiate,Marron,Homme,130,260.0,conversation
145,Tafraout,Bleu,Homme,80,160.0,conversation
146,Tafraout,Bleu clair,Homme,80,160.0,conversation
147,Tafraout,Jaune,Homme,80,160.0,conversation
148,Tafraout,Marron,Homme,80,160.0,conversation
149,Tafraout,Multicolore,Homme,80,160.0,conversation
150,Tafraout,Noire,Homme,80,160.0,conversation
151,Tongs Birkenstock,Marron,Homme,85,170.0,
152,Tropézien,Beige,Homme,80,160.0,conversation
153,Égypte,A définir,Homme,80,160.0,
201,Babouche,Marron Embark,Unisex,85,170.0,conversation
202,Babush Birkenstock,Daim marron,Unisex,130,260.0,
203,Babush Birkenstock,Marron,Unisex,130,260.0,
204,Babush Birkenstock,Nibek,Unisex,130,260.0,
205,Babush Birkenstock,Noire,Unisex,130,260.0,
206,Birkenstock,Blanche,Unisex,130,260.0,conversation
207,Birkenstock,Daim marron,Unisex,130,260.0,conversation
208,Birkenstock,Marron,Unisex,130,260.0,conversation
209,Birkenstock,Noire,Unisex,130,260.0,conversation
210,Chauve-souris,Marron,Unisex,260,520.0,
211,Dessinateur vieux,Jaune et embark,Unisex,130,260.0,conversation
212,Mocassin cuir de chèvre,Marron,Unisex,130,260.0,
213,Pologne,Caramel,Unisex,140,280.0,conversation
214,Pologne,Marron,Unisex,140,280.0,conversation
215,Pologne,Marron foncé devant et beige derrière,Unisex,140,280.0,conversation
216,Sabot,Bleu,Unisex,90,180.0,conversation
217,Sandale Cheveux,Divers,Unisex,25,50.0,
218,Tafraout,Embark,Unisex,80,160.0,conversation
219,Tafraout Occasion,Marron,Unisex,60,120.0,conversation
